atomic_number,element,symbol,atomic_mass,table_row,table_col,color,melting_point_kelvin,boiling_point_kelvin,density_grams_per_cubic_centimeter,phase_at_room_temp,element_classification,period_number,group_number,group_name,
1,Hydrogen,H,1.00794,0,0,RED,13.81,20.28,0.00008988,Gas,Non-metal,1,1,none,
2,Helium,He,4.002602,0,18,RED,0.95,4.22,0.0001785,Gas,Non-metal,1,18,Noble Gas,
3,Lithium,Li,6.941,1,0,RED,453.65,1615,0.534,Solid,Metal,2,1,Alkali Metal,
4,Beryllium,Be,9.0121831,1,1,RED,1560,2744,1.85,Solid,Metal,2,2,Alkaline Earth Metal,
5,Boron,B,10.811,1,13,YELLOW,2348,4273,2.37,Solid,Semi-metal,2,13,none,
6,Carbon,C,12.0107,1,14,YELLOW,3823,4098,2.2670,Solid,Non-metal,2,14,none,
7,Nitrogen,N,14.00674,1,15,YELLOW,63.15,77.36,0.0012506,Gas,Non-metal,2,15,Pnictogen,
8,Oxygen,O,15.9994,1,16,YELLOW,54.36,90.20,0.001429,Gas,Non-metal,2,16,Chalcogen,
9,Fluorine,F,18.998403163,1,17,YELLOW,53.53,85.03,0.001696,Gas,Non-metal,2,17,Halogen,
10,Neon,Ne,20.1797,1,18,YELLOW,24.56,27.07,0.0008999,Gas,Non-metal,2,18,Noble Gas,
11,Sodium,Na,22.98976928,2,0,RED,370.95,1156,0.97,Solid,Metal,3,1,Alkali Metal,
12,Magnesium,Mg,24.305,2,1,RED,923,1363,1.74,Solid,Metal,3,2,Alkaline Earth Metal,
13,Aluminum,Al,26.9815385,2,13,YELLOW,933.437,2792,2.70,Solid,Metal,3,13,none,
14,Silicon,Si,28.0855,2,14,YELLOW,1687,3538,2.3296,Solid,Semi-metal,3,14,none,
15,Phosphorus,P,30.973761998,2,15,YELLOW,317.30,553.65,1.82,Solid,Non-metal,3,15,Pnictogen,
16,Sulfur,S,32.066,2,16,YELLOW,388.36,717.75,2.067,Solid,Non-metal,3,16,Chalcogen,
17,Chlorine,Cl,35.4527,2,17,YELLOW,171.65,239.11,0.003214,Gas,Non-metal,3,17,Halogen,
18,Argon,Ar,39.948,2,18,YELLOW,83.80,87.30,0.0017837,Gas,Non-metal,3,18,Noble Gas,
19,Potassium,K,39.0983,3,0,RED,336.53,1032,0.89,Solid,Metal,4,1,Alkali Metal,
20,Calcium,Ca,40.078,3,1,RED,1115,1757,1.54,Solid,Metal,4,2,Alkaline Earth Metal,
21,Scandium,Sc,44.955908,3,3,BLUE,1814,3109,2.99,Solid,Metal,4,3,none,
22,Titanium,Ti,47.867,3,4,BLUE,1941,3560,4.5,Solid,Metal,4,4,none,
23,Vanadium,V,50.9415,3,5,BLUE,2183,3680,6.0,Solid,Metal,4,5,none,
24,Chromium,Cr,51.9961,3,6,BLUE,2180,2944,7.15,Solid,Metal,4,6,none,
25,Manganese,Mn,54.938044,3,7,BLUE,1519,2334,7.3,Solid,Metal,4,7,none,
26,Iron,Fe,55.845,3,8,BLUE,1811,3134,7.874,Solid,Metal,4,8,none,
27,Cobalt,Co,58.933194,3,9,BLUE,1768,3200,8.86,Solid,Metal,4,9,none,
28,Nickel,Ni,58.6934,3,10,BLUE,1728,3186,8.912,Solid,Metal,4,10,none,
29,Copper,Cu,63.546,3,11,BLUE,1357.77,2835,8.933,Solid,Metal,4,11,none,
30,Zinc,Zn,65.38,3,12,BLUE,692.68,1180,7.134,Solid,Metal,4,12,none,
31,Gallium,Ga,69.723,3,13,YELLOW,302.91,2477,5.91,Solid,Metal,4,13,none,
32,Germanium,Ge,72.630,3,14,YELLOW,1211.40,3106,5.323,Solid,Semi-metal,4,14,none,
33,Arsenic,As,74.921595,3,15,YELLOW,1090,887,5.776,Solid,Semi-metal,4,15,Pnictogen,
34,Selenium,Se,78.971,3,16,YELLOW,493.65,958,4.809,Solid,Non-metal,4,16,Chalcogen,
35,Bromine,Br,79.904,3,17,YELLOW,265.95,331.95,3.11,Liquid,Non-metal,4,17,Halogen,
36,Krypton,Kr,83.798,3,18,YELLOW,115.79,119.93,0.003733,Gas,Non-metal,4,18,Noble Gas,
37,Rubidium,Rb,85.4678,4,0,RED,312.46,961,1.53,Solid,Metal,5,1,Alkali Metal,
38,Strontium,Sr,87.62,4,1,RED,1050,1655,2.64,Solid,Metal,5,2,Alkaline Earth Metal,
39,Yttrium,Y,88.90584,4,3,BLUE,1795,3618,4.47,Solid,Metal,5,3,none,
40,Zirconium,Zr,91.224,4,4,BLUE,2128,4682,6.52,Solid,Metal,5,4,none,
41,Niobium,Nb,92.90637,4,5,BLUE,2750,5017,8.57,Solid,Metal,5,5,none,
42,Molybdenum,Mo,95.95,4,6,BLUE,2896,4912,10.2,Solid,Metal,5,6,none,
43,Technetium,Tc,98,4,7,BLUE,2430,4538,11,Solid,Metal,5,7,none,
